Issue Type|Issue key|Issue id|Summary|Assignee|Reporter|Priority|Status|Resolution|Created|Updated|Due Date
Bug|JDK-8230728|4999610|Thin stroked shapes are not rendered if affine transform has flip bit|lbourges|lbourges|P3|Resolved|Fixed|2019-09-06 13:49|2019-09-10 12:24|
Bug|JDK-8228711|4996791|Path rendered incorrectly when it goes outside the clipping region|lbourges|lbourges|P3|Resolved|Fixed|2019-07-29 00:28|2019-09-04 22:08|
Bug|JDK-8210335|4971370|Clipping problems with complex affine transforms: negative scaling factors or small scaling factors|lbourges|lbourges|P3|Resolved|Fixed|2018-09-03 13:09|2018-10-12 04:28|
Bug|JDK-8202580|4959335|"Dashed BasicStroke randomly painted incorrectly, may freeze application"|lbourges|webbuggrp|P3|Resolved|Fixed|2018-05-02 14:33|2018-06-14 05:32|
Enhancement|JDK-8198885|4954400|upgrade Marlin (java2d) to 0.9.1|lbourges|lbourges|P4|Resolved|Fixed|2018-02-28 23:51|2018-06-08 07:22|
Bug|JDK-8191814|4945424|Marlin rasterizer spends time computing geometry for stroked segments that do not intersect the clip|lbourges|lbourges|P4|Resolved|Fixed|2017-11-23 01:47|2017-12-15 08:49|
Bug|JDK-8186306|4937933|Remove pisces from Java2D sources + build.|prr|prr|P3|Resolved|Fixed|2017-08-16 09:49|2017-11-22 15:33|
Enhancement|JDK-8180055|4928617|Upgrade the Marlin renderer in Java2D|lbourges|lbourges|P4|Resolved|Fixed|2017-05-10 01:08|2017-09-08 11:44|
Bug|JDK-8159638|4888962|Improve array caches and renderer stats in Marlin renderer|lbourges|lbourges|P4|Resolved|Fixed|2016-06-15 13:45|2016-08-25 15:20|
Bug|JDK-8159093|4887621|Fix coding conventions in Marlin renderer|lbourges|lbourges|P4|Resolved|Fixed|2016-06-08 14:25|2016-07-14 09:12|
Bug|JDK-8149338|4864575|JVM Crash caused by Marlin renderer not handling NaN coordinates|lbourges|lbourges|P2|Resolved|Fixed|2016-02-08 01:26|2016-03-15 14:27|
Bug|JDK-8148886|4863861|SEGV in sun.java2d.marlin.Renderer._endRendering|lbourges|prr|P2|Resolved|Fixed|2016-02-02 12:22|2016-03-15 14:26|
Bug|JDK-8147443|4861595|Use Common Cleaner in Marlin OffHeapArray|lbourges|lbourges|P4|Resolved|Fixed|2016-01-15 01:23|2016-02-11 15:50|
Bug|JDK-8146076|4859261|[TEST_BUG] Fail of sun/java2d/marlin/CeilAndFloorTests.java with Jigsaw|lbourges|yan|P4|Resolved|Fixed|2015-12-23 00:09|2016-02-11 15:54|
Bug|JDK-8145055|4857610|Marlin renderer causes unaligned write accesses|prr|lana|P2|Resolved|Fixed|2015-12-09 19:23|2015-12-24 10:15|2015-12-03 00:00
Bug|JDK-8144938|4857421|Handle properly coordinate overflow in Marlin Renderer|lbourges|lbourges|P3|Resolved|Fixed|2015-12-08 08:25|2016-04-14 09:16|
Bug|JDK-8144828|4857257|Marlin renderer causes unaligned write accesses|lbourges|thartmann|P2|Resolved|Fixed|2015-12-07 04:19|2016-01-07 10:17|
Bug|JDK-8144718|4857057|Pisces / Marlin Strokers may generate invalid curves with huge coordinates and round joins|lbourges|lbourges|P4|Resolved|Fixed|2015-12-04 07:04|2016-02-11 15:55|
Bug|JDK-8144654|4856971|Improve Marlin logging|lbourges|lbourges|P4|Resolved|Fixed|2015-12-03 14:08|2016-09-20 09:08|
Bug|JDK-8144630|4856947|Use PrivilegedAction to create Thread in Marlin RendererStats|lbourges|lbourges|P4|Resolved|Fixed|2015-12-03 13:31|2016-01-07 10:16|
Bug|JDK-8144526|4856788|Remove Marlin logging use of deleted internal API|prr|prr|P2|Resolved|Fixed|2015-12-02 10:34|2015-12-10 09:14|
Bug|JDK-8144446|4856652|Automate the Marlin crash test|lbourges|flar|P4|Resolved|Fixed|2015-12-01 15:08|2016-01-07 10:16|
Bug|JDK-8144445|4856651|Maximum size checking in Marlin ArrayCache utility methods is not optimal|lbourges|flar|P4|Resolved|Fixed|2015-12-01 14:59|2016-01-07 10:16|
Bug|JDK-8143849|4855592|Integrate Marlin renderer per JEP 265|flar|flar|P4|Resolved|Fixed|2015-11-23 15:00|2017-08-10 09:46|
Bug|JDK-8140266|4850354|Performance loss between jdk8 and jdk9 on Maskfill |serb|serb|P3|Resolved|Fixed|2015-10-21 11:58|2017-01-19 14:44|
Enhancement|JDK-8076529|4774116|Marlin antialiasing renderer integration|prr|lbourges|P2|Resolved|Fixed|2015-04-02 00:48|2015-12-10 09:15|2015-12-03 00:00
Bug|JDK-8075942|4771198|ArrayIndexOutOfBoundsException at sun.java2d.pisces.Dasher.goTo(Dasher.java:151)|lbourges|webbuggrp|P4|Resolved|Fixed|2015-03-11 03:32|2019-01-13 22:42|
Bug|JDK-8072682|4766833|getBounds call on graphics.getDeviceConfiguration() returning cached information|psadhukhan|webbuggrp|P3|Resolved|Fixed|2015-02-03 02:05|2017-11-23 02:00|
